fid,id,location_srs,location_x,location_y,operator,elevation,slope,aspect,actively_saved,actively_saved_on_year,actively_saved_on_month,actively_saved_on_day,plot_file,lc,lc_label,quality,quality_label,X,Y,_mean,_Xmean,_Ymean,_coastalmean,_bluemean,_greenmean,_redmean,_NIRmean,_SWIR1mean,_SWIR2mean,_NDVImean,_IPVImean,_GRVImean
"283","281",EPSG:4326,30.972457387648,51.0682956620786,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,357943.322713696,5659375.2762776,27.5,357945,5659380,27.5,24,17,86.5,42.5,198,18.5,0.330135330557823,-0.339729323983192,-0.67056730389595
"284","282",EPSG:4326,30.8552607842447,50.9231343096084,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,later,later,349263.183895708,5643467.78795048,29,349260,5643465,29,26,20,84,55,197,25.5,0.395652174949646,-0.208695650100708,-0.615533977746964
"285","283",EPSG:4326,30.9625468862652,51.2136667660649,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,357696.799336333,5675558.48448009,29.3333333333333,357695,5675555,29.3333333333333,26,18.6666666666667,107,46.3333333333333,197,19,0.302323192358017,-0.395353615283966,-0.70246285200119
"286","284",EPSG:4326,30.7915697563143,51.226954442324,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,345800.76559825,5677380.96500749,24,345795,5677380,24,19,13.5,62,28.5,196,12,0.314871475100517,-0.370257034897804,-0.64222925901413
"287","285",EPSG:4326,30.8605806441957,51.171788103,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,350440.240061889,5671104.37342229,25,350435,5671105,25,18.6666666666667,14.6666666666667,52,26,197,12.6666666666667,0.33353254199028,-0.332934896151225,-0.55923056602478
"288","286",EPSG:4326,31.1967102837617,51.0748720654012,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,373672.014728452,5659697.813568,30.5,373680,5659695,30.5,27,19,111.5,47.5,196,20.5,0.299976095557213,-0.400047779083252,-0.707597464323044
"289","287",EPSG:4326,31.0504848061668,51.0648170757484,Matsala,"0","0","0",true,"2019","5","25",Points.csv,bog,bog,2010-2011,2010-2011,363399.502281038,5658840.84523414,28,363405,5658840,28,24,17.5,60.5,26.5,196,12,0.303968265652657,-0.392063498497009,-0.553086429834366
"290","288",EPSG:4326,30.7895748484027,50.9872515637296,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,344860.807287564,5650732.98145777,31,344865,5650740,31,27.5,28.5,50,72,210,53.5,0.590188145637512,0.180376343429089,-0.273863643407822
"291","289",EPSG:4326,31.0582446074382,51.2075324473939,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,364362.091647456,5674695.40854459,27.7367172994476,364361.592852856,5674695.48053381,27.7367172994476,24.3125145237639,18.3835676380236,86.0293270370312,52.8282076629382,196.742593588314,23.6210572370781,0.380430878036655,-0.23913824604637,-0.647787168159864
"292","290",EPSG:4326,30.834018512321,50.9981150586513,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,348015.284835838,5651848.26237892,30,348015,5651850,30,31.5,23.5,90.5,58.5,194,28.5,0.392709091305733,-0.214581832289696,-0.587438434362411
"293","291",EPSG:4326,31.1941710053225,51.1640119549838,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,373737.409358186,5669614.02966578,35.75,373740,5669610,35.75,39,40.25,93.5,80.75,202,59.25,0.463992305099964,-0.072015387006104,-0.393927171826363
"294","292",EPSG:4326,30.8965743402604,50.9662978090524,Matsala,"0","0","0",true,"2019","5","25",Points.csv,settlement,settlement,2010-2011,2010-2011,352303.397028323,5648183.42824279,31.5,352305,5648190,31.5,28.5,23,68.5,49,202,33.5,0.417306587100029,-0.165386844426394,-0.496294528245926
"295","293",EPSG:4326,31.0499140540473,51.1272753584073,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,363543.52896704,5665786.76930354,30,363540,5665785,30,26.5,22.5,57,53.5,204,34,0.484190702438354,-0.0316186118870974,-0.433998107910156
"296","294",EPSG:4326,30.9664359615108,50.92191722761,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,357072.390957646,5643111.2121717,28,357075,5643120,28,27,23,59.5,57,201,36.5,0.489242553710938,-0.0215148837305605,-0.442403763532639
"297","295",EPSG:4326,30.8538126457233,51.0337237439273,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,349519.419122708,5655766.88331604,28,349530,5655765,28,25.5,19.5,82,53,198,24,0.392717897891998,-0.214564226567745,-0.61564627289772
"298","296",EPSG:4326,30.7481285613111,50.9847783711787,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,341943.795509717,5650546.04902438,26,341940,5650545,26,21,15.5,46,28,201.5,14,0.378654971718788,-0.242690064013004,-0.495762705802917
"299","297",EPSG:4326,31.0969114775197,51.1611511581773,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,366929.361080309,5669467.42121589,29,366925,5669465,29,26.6666666666667,21.6666666666667,81,54.6666666666667,199.333333333333,29.6666666666667,0.403755366802216,-0.19248928129673,-0.575362990299861
"300","298",EPSG:4326,31.1833803530358,50.9916427925933,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372510.046445803,5650466.27520927,29.75,372510,5650470,29.75,28.5,27.75,75.25,62.75,200,38.5,0.454810045659542,-0.0903799179941416,-0.460754446685314
"301","299",EPSG:4326,30.9283956822341,51.103581432945,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,354966.911050403,5663384.63968532,27,354960,5663385,27,24,17,78,36,200,17,0.31482195854187,-0.370356068015099,-0.642357647418976
"302","300",EPSG:4326,30.9539308796767,50.9890793363596,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,356400.759176396,5650603.15438659,26,356400,5650605,26,21,14.5,51,24,198.5,11,0.320056885480881,-0.359886199235916,-0.557369410991669
"303","301",EPSG:4326,31.0885725996282,50.921701181586,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,365655.383496147,5642857.70281823,29.5,365655,5642850,29.5,26,19.5,78,42,193,20.5,0.350236177444458,-0.299527645111084,-0.599473685026169
"304","302",EPSG:4326,30.7751254671956,50.9370980844857,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,343678.503161115,5645187.1388682,32.75,343680,5645190,32.75,28.25,25.5,52.25,36.25,205.5,25.25,0.406882554292679,-0.186234893277287,-0.348544642329216
"305","303",EPSG:4326,30.8341896674363,50.9792672054955,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,347965.711268472,5649752.27078296,27.25,347970,5649750,27.25,25.25,19.75,96.5,57,199,27.25,0.371247477829456,-0.257505048066378,-0.66013178229332
"306","304",EPSG:4326,31.081256139806,51.1262770874544,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,365733.608698835,5665618.1040807,30,365730,5665620,30,27.75,23,61.75,50,199.75,29.5,0.447427578270435,-0.105144849047065,-0.457346759736538
"307","305",EPSG:4326,31.1721569538255,51.0956647534129,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372009.481786004,5662052.23994572,38.5,372015,5662050,38.5,35.5,35,61.5,63.5,197,38.5,0.508004605770111,0.0160092208534479,-0.274661511182785
"308","307",EPSG:4326,30.7993651919998,50.9431961271338,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,later,later,345401.664040723,5645814.06411956,28,345405,5645820,28,26,20.5,87,54,199,25.5,0.383712723851204,-0.232574537396431,-0.617126494646072
"309","308",EPSG:4326,30.7994031133968,51.1855485905665,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,346209.768927695,5672760.62907061,25,346215,5672760,25,20.5,14.5,59.5,33.5,196,14,0.359724313020706,-0.280551359057426,-0.608187139034271
"310","309",EPSG:4326,31.0041484922677,51.0570900315,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,360129.748486441,5658068.6484699,28,360125,5658065,28,25.3333333333333,23.6666666666667,60.6666666666667,56.3333333333333,199.333333333333,32.3333333333333,0.48116597533226,-0.0376680617531141,-0.439304808775584
"311","310",EPSG:4326,30.8852067980059,50.913235154383,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,351336.106577655,5642306.37809008,32.6666666666667,351335,5642305,32.6666666666667,32.3333333333333,32.3333333333333,76.6666666666667,78.6666666666667,203,51.6666666666667,0.50636088848114,0.0127218210448821,-0.407102336486181
"312","311",EPSG:4326,31.0250520496982,51.067634136117,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,361626.00438293,5659201.56529851,27.5,361620,5659200,27.5,25,19,105.75,54.5,198,27.75,0.338644310832024,-0.322711378335953,-0.695875823497772
"313","312",EPSG:4326,31.1198013758809,51.1156346936528,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,368400.409455522,5664365.10375977,27.75,368400,5664360,27.75,25,22.5,59,62.75,203.75,33.75,0.515377998352051,0.0307560306973755,-0.447831980884075
"314","313",EPSG:4326,30.9256309357921,51.0124849328882,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,354488.018649238,5653261.10471872,27.3333333333333,354485,5653265,27.3333333333333,25,22,53.3333333333333,58,208,36.6666666666667,0.520945608615875,0.0418912395834923,-0.415770053863525
"315","314",EPSG:4326,31.0521340065783,51.0959154011437,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,363606.54823651,5662295.66670486,29.3333333333333,363605,5662295,29.3333333333333,26,22,55.3333333333333,52.6666666666667,203.666666666667,32,0.487593978643417,-0.0248120619604985,-0.431220451990763
"316","315",EPSG:4326,30.9439452323736,51.1697459189478,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,356261.089168532,5670711.02050896,31.6666666666667,356255,5670715,31.6666666666667,28,22.6666666666667,64,46.3333333333333,201,24.6666666666667,0.42002809047699,-0.159943799177806,-0.476680984099706
"317","316",EPSG:4326,30.8096823546273,51.2003515338871,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,346977.122025436,5674385.11326744,26,346980,5674380,26,21.75,18.25,59,43.25,204.25,22.5,0.422963194549084,-0.154073618352413,-0.527309700846672
"318","317",EPSG:4326,30.8276800885032,51.1062864529147,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,347925.384230692,5663888.72122463,29.5,347925,5663880,29.5,27,27,68.5,64.5,205,41,0.485224187374115,-0.0295516308397055,-0.433794468641281
"319","318",EPSG:4326,30.8447951741674,50.9372216588887,Matsala,"0","0","0",true,"2019","5","25",Points.csv,water,water,later,later,348573.473653487,5645055.54301248,25.5,348570,5645055,25.5,21.5,16,18.5,12,195.5,8,0.384439364075661,-0.231121271848679,-0.0641025677323341
"320","319",EPSG:4326,31.1488961435697,50.9674774455885,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,370022.656555861,5647839.50307737,37,370020,5647845,37,37.5,41,84.5,73,202,53,0.463407263159752,-0.0731854848563671,-0.346666678786278
"321","320",EPSG:4326,30.8464263457648,51.0551885970366,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,349071.368991817,5658168.63716141,32.5,349080,5658165,32.5,29.5,25.5,75,54.5,199.5,27,0.42087060213089,-0.15825879573822,-0.492966115474701
"322","321",EPSG:4326,31.118986925862,51.0924518940206,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,368277.519973235,5661788.79232875,28.3333333333333,368275,5661785,28.3333333333333,26.6666666666667,23.3333333333333,67.3333333333333,59,203.666666666667,35.3333333333333,0.467024952173233,-0.0659500931700071,-0.485307286183039
"323","322",EPSG:4326,31.0588133305011,51.0903643452981,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,364057.930797723,5661666.07687554,25.6666666666667,364055,5661665,25.6666666666667,21.3333333333333,16,60.6666666666667,34.3333333333333,202.666666666667,16,0.361519853274028,-0.276960293451945,-0.580900331338247
"324","323",EPSG:4326,30.8673207238797,51.0759652821537,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,350602.483435793,5660436.15823653,30,350605,5660435,30,28,22.3333333333333,74,52.6666666666667,202.333333333333,28,0.415760536988576,-0.168478940924009,-0.536629458268484
"325","324",EPSG:4326,30.9302598384749,51.1906741862066,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,355369.953848737,5673064.91467444,28.5,355365,5673060,28.5,27.5,26,75,60.5,202.5,35,0.446432456374168,-0.107135076075792,-0.48490197956562
"326","325",EPSG:4326,31.1310476817694,51.1652134811974,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,369327.583972478,5669857.91095254,28,369325,5669855,28,26.6666666666667,22,78.6666666666667,57.6666666666667,198.666666666667,28.6666666666667,0.423308988412221,-0.153382025659084,-0.562284330526988
"327","326",EPSG:4326,31.1435040294516,51.1699234964333,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,370211.659030879,5670359.57740317,27.5,370215,5670360,27.5,26.5,21.5,66.5,58,200.5,32.5,0.465834304690361,-0.0683313980698586,-0.511429667472839
"328","327",EPSG:4326,31.1710008365957,51.0661410923226,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,371846.971331715,5658771.41365577,35.6666666666667,371845,5658775,35.6666666666667,34,31.3333333333333,78,69.3333333333333,201,45,0.47065011660258,-0.058699748168389,-0.426920433839162
"329","328",EPSG:4326,31.0153311698468,50.9966925070928,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,360732.447271797,5651331.84321896,27,360735,5651340,27,22,16.5,55,35.5,199.5,19.5,0.393138706684113,-0.213722586631775,-0.535897463560104
"330","329",EPSG:4326,31.1823115812905,51.1870306187113,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372971.546630794,5672194.02437895,41,372975,5672190,41,43,49,89,90.5,201,82,0.504159688949585,0.00831936439499259,-0.289817780256271
"331","330",EPSG:4326,30.8814432425328,51.0272771438448,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,351435.945967195,5654994.01474016,26,351435,5655000,26,22,16.5,74,35,194.5,14,0.321779668331146,-0.356440678238869,-0.63267058134079
"332","331",EPSG:4326,31.1357454828249,51.1885965844374,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,369721.951301557,5672449.64836914,32.5,369720,5672445,32.5,32.5,32,72.5,73.5,200,52,0.503378391265869,0.00675675692036748,-0.387545794248581
"333","332",EPSG:4326,30.9214699238305,51.2234608059546,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,354858.911569831,5676727.85884649,24.5,354855,5676720,24.5,21,14.5,92.5,41.5,195,17.5,0.309866219758987,-0.380267560482025,-0.728942513465881
"334","333",EPSG:4326,31.103347648684,51.1281975258699,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,367284.873606598,5665791.56048639,28.3333333333333,367285,5665795,28.3333333333333,23.6666666666667,20.6666666666667,60,51,196.666666666667,28.3333333333333,0.459593137105306,-0.0808137208223343,-0.487393160661062
"335","334",EPSG:4326,30.8054648083491,51.0557979458947,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,346202.976971604,5658321.13977433,25.3333333333333,346205,5658325,25.3333333333333,20.3333333333333,15.6666666666667,47.3333333333333,27.6666666666667,200,13.6666666666667,0.368721465269725,-0.262557084361712,-0.502730836470922
"336","335",EPSG:4326,30.9796345142676,51.0576230523154,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,358413.571083518,5658174.76091123,24.6666666666667,358415,5658175,24.6666666666667,20.6666666666667,14.3333333333333,81,36.3333333333333,197,14.3333333333333,0.310086637735367,-0.379826724529266,-0.698412716388702
"337","336",EPSG:4326,31.0097943181181,50.9195006105668,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,360112.3006282,5642759.41659511,28.6666666666667,360115,5642755,28.6666666666667,25.3333333333333,22.3333333333333,56.6666666666667,51.6666666666667,202,31.6666666666667,0.47692264119784,-0.0461547176043193,-0.434599161148071
"338","337",EPSG:4326,31.0497601349583,51.1027621187937,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,363460.512963115,5663061.36936565,35.6666666666667,363455,5663065,35.6666666666667,31.6666666666667,30.6666666666667,59,60.3333333333333,204,40,0.505791366100311,0.0115827210247517,-0.319729000329971
"339","338",EPSG:4326,31.1435405220542,51.0431812569612,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,369858.683982505,5656266.59825135,28,369855,5656260,28,23,18.5,53,28.5,196,13.5,0.349668771028519,-0.300662443041801,-0.482589974999428
"340","339",EPSG:4326,30.9984681171373,51.2271314531101,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,360246.23790544,5676986.71675469,28,360245,5676985,28,25.6666666666667,18.3333333333333,82.6666666666667,42.6666666666667,199.666666666667,19.6666666666667,0.340506285429001,-0.318987409273783,-0.636414448420207
"341","340",EPSG:4326,31.1514294314596,51.1841159827404,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,370805.367851867,5671923.74897163,31,370805,5671925,31,32.3333333333333,32,76,70,201.333333333333,48.3333333333333,0.47951203584671,-0.0409759078174829,-0.407271871964137
"342","341",EPSG:4326,30.9196103670474,50.937278149665,Matsala,"0","0","0",true,"2019","5","25",Points.csv,settlement,settlement,2010-2011,2010-2011,353829.747539248,5644910.90629078,30.3333333333333,353825,5644915,30.3333333333333,27.6666666666667,24.6666666666667,76,50,202,31.6666666666667,0.396644463141759,-0.206711063782374,-0.509900997082392
"343","342",EPSG:4326,30.9560341169816,51.0389891285359,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,356702.30550811,5656148.49657471,24.3333333333333,356705,5656145,24.3333333333333,21,14,74.3333333333333,37,197,15.6666666666667,0.332313974698385,-0.335372080405553,-0.682956000169118
"344","343",EPSG:4326,30.8520070244055,51.079866653071,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,349542.498205362,5660901.13511303,28,349545,5660910,28,26.5,20.5,70.5,53,203,27,0.429124057292938,-0.141751900315285,-0.549516916275024
"345","344",EPSG:4326,31.1319888190151,51.0923057756294,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,369187.528471102,5661749.35861733,38,369185,5661745,38,42.3333333333333,47,80.3333333333333,91.3333333333333,202,74.6666666666667,0.53199714422226,0.0639942524333795,-0.261978358030319
"346","345",EPSG:4326,30.9180965077792,50.9062004574458,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,353625.880535316,5641458.46358127,30,353625,5641470,30,28.5,27.5,63.5,63,202,36,0.498031497001648,-0.00393700785934925,-0.395604401826859
"347","346",EPSG:4326,30.7738642584926,51.0428387619052,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,later,later,343945.024628752,5656946.71850193,26.3333333333333,343945,5656945,26.3333333333333,22.3333333333333,17,80.3333333333333,48.6666666666667,198,22.3333333333333,0.377226461966832,-0.245547076066335,-0.650676747163137
"348","347",EPSG:4326,31.0033484518771,50.9848697940271,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,359856.059126796,5650039.98987551,30.3333333333333,359855,5650045,30.3333333333333,25.6666666666667,21,59.3333333333333,37.6666666666667,200.333333333333,24,0.388477126757304,-0.223045751452446,-0.478583892186483
"349","348",EPSG:4326,30.7979619592401,51.2152368654679,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,346207.986125246,5676064.68536627,24.3333333333333,346205,5676065,24.3333333333333,19.6666666666667,13.6666666666667,80,38,196,14.3333333333333,0.322033902009328,-0.355932205915451,-0.708152194817861
"350","349",EPSG:4326,30.8775473837454,51.1341134136453,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,351505.300399287,5666880.92839701,27.5,351510,5666880,27.5,23,19.25,55,33.5,201,19,0.370822839438915,-0.258354317396879,-0.484767124056816
"351","350",EPSG:4326,30.9740677786693,51.1142395394581,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,358196.761012364,5664480.71178988,27.5,358200,5664480,27.5,21.5,15.75,78.5,36.75,196,15,0.318875424563885,-0.362249150872231,-0.665482491254807
"352","351",EPSG:4326,30.8289033060861,51.0334906596159,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,347772.302530953,5655792.14781796,28.4367155139362,347771.838081552,5655791.65812902,28.4367155139362,26.4087438048738,21.0265877465426,83.7490620800805,50.2585317125032,200.110675934496,27.5092673982922,0.374906705838361,-0.250186604045054,-0.598705501528283
"353","352",EPSG:4326,31.1095041841609,51.2294161814216,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,368005.068770131,5677035.4091237,26,368010,5677035,26,20,14,52.5,24.5,198,11,0.318227842450142,-0.363544315099716,-0.578733056783676
"354","353",EPSG:4326,31.1928364444116,51.1677434995119,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,373654.302081743,5670031.25172847,30,373650,5670030,30,28,25,73,57.25,201.75,37.5,0.436604507267475,-0.126790983835235,-0.491907149553299
"355","354",EPSG:4326,31.081552805907,51.0905281524576,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,365650.73407668,5661642.54186794,32,365640,5661645,32,26.5,21.5,61.5,33,198,15.5,0.34917077422142,-0.301658436655998,-0.481707319617271
"356","355",EPSG:4326,30.8105559155994,51.0311593558213,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,346478.289539074,5655571.01200086,25.5,346485,5655570,25.5,21.5,18,52.5,34.5,203,19.5,0.396670177578926,-0.206659622490406,-0.489130437374115
"357","356",EPSG:4326,31.0083714623941,51.0469405795374,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,360395.150674113,5656932.11122893,27.5,360390,5656935,27.5,25,21,104.5,58,199,27.5,0.356926456093788,-0.286147087812424,-0.665396839380264
"358","357",EPSG:4326,30.9502766141102,50.9598205410823,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,356053.861942724,5647357.03495024,28,356055,5647350,28,24,21.5,56,53,204,29.5,0.486238539218903,-0.027522936463356,-0.445221453905106
"359","358",EPSG:4326,30.9618906907881,50.9297734329693,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,356777.090067545,5643993.54230426,30.5,356775,5643990,30.5,27.5,27,65,54.5,200,33,0.45605742931366,-0.0878851562738419,-0.413210451602936
"360","359",EPSG:4326,31.1842453906706,51.0922550504199,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372846.53391267,5661652.15163811,30.6666666666667,372845,5661655,30.6666666666667,28,22.6666666666667,74,53.3333333333333,196,26,0.418799926837285,-0.16240016122659,-0.531037410100301
"361","360",EPSG:4326,30.9994459848128,51.1359211462646,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,360038.491333077,5666842.92905008,29.3333333333333,360035,5666845,29.3333333333333,22,16.3333333333333,80,37.3333333333333,196,14.3333333333333,0.318170855442683,-0.363658318916957,-0.660939296086629
"362","361",EPSG:4326,30.9517194427136,50.9226691904282,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,356040.461974779,5643223.43245568,29.5,356040,5643225,29.5,28.5,26.5,68,62,201,37.5,0.476444438099861,-0.0471111098304391,-0.441414147615433
"363","362",EPSG:4326,31.0534033966546,50.908176003376,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,363144.035943276,5641418.47456963,37.3333333333333,363145,5641415,37.3333333333333,34.6666666666667,32,76.3333333333333,56.6666666666667,201,36.6666666666667,0.421921143929164,-0.156157705932856,-0.410008817911148
"364","363",EPSG:4326,31.0299022524343,51.1577583624028,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,362234.119036882,5669213.560204,31,362235,5669220,31,30,23.5,95,51.5,194,25,0.351491838693619,-0.297016307711601,-0.603261649608612
"365","364",EPSG:4326,31.1999211463043,51.0460043488348,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,373818.468339896,5656482.4083554,27.5,373830,5656485,27.5,26,19,98.5,50.5,199,23,0.339032307267189,-0.321935400366783,-0.67644926905632
"366","365",EPSG:4326,30.8185775654763,50.9454618971836,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,later,later,346758.683092701,5646025.89178516,30,346755,5646030,30,29,28,75,74,201,45,0.496553599834442,-0.0068928231485188,-0.456447958946228
"367","366",EPSG:4326,30.8929036350518,51.0364577098318,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,352268.732004772,5655991.74174067,29.5,352275,5655990,29.5,27,20.5,85,51.5,198,24,0.377617314457893,-0.244765385985374,-0.610481828451157
"368","367",EPSG:4326,31.1024153438238,51.1978475634919,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,367419.508910056,5673537.90354082,27.5,367425,5673540,27.5,25,22,53.5,56.5,204,33.5,0.513637483119965,0.027274982072413,-0.417192980647087
"369","368",EPSG:4326,31.1334990747226,50.9086224561602,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,368776.023084532,5641322.64041521,34.5,368775,5641320,34.5,32.5,31.5,80,58.5,201.5,41.5,0.422324791550636,-0.155350439250469,-0.434995979070663
"370","369",EPSG:4326,31.0711722818781,50.9503791319204,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,364515.875904342,5646078.21943945,28,364515,5646090,28,25,24,55.5,57,201,35.5,0.506050318479538,0.0121006015688181,-0.396961063146591
"371","370",EPSG:4326,31.026742996766,51.063198098113,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,361731.251016629,5658705.14046677,29.5,361740,5658705,29.5,27,22,58,53.5,202,31.5,0.479850396513939,-0.0402992283925414,-0.449914053082466
